GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
tːʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
tːʃː	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	+
tˠ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
tˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
t̀	-	-	+	-	-	-	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
t̂	-	-	+	-	-	-	-	-	-	-	-	-	n	-	-	+	+	-	-	-	-	-	-
t̪	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
t̪s̪	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ɦ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	+	-	-
t̪s̪ʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪s̪ː	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
t̪ʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	.	.	-	-	-	+	-	-
t̪ʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
t̪ʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
t̪ʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	+	+	+	-	-
t̪ʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪ː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
t̪ˤ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
t̪ˤː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
t̪̀	-	-	+	-	-	-	-	-	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
t̪͡c	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	.	.	-	-	-	+	-	-
t̪͡k	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	.	.	.	-	-	.	-	-
t̪θ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
t̪ⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	+	-	-
t̺s̺ʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
t̻s̻	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
t̻ɕ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
t̻ɕʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	.	-	-	+	-	-	-	+	-	-
t̻ɕʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	+	-	-	-	+	-	-
t̻ʃ̻	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tθ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
tθʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
tⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
u	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ua	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
ui	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	.	-	n	+	-
uj	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	-	-	n	+	-
uo	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
uw	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	.	+	+	n	+	-
uɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	+	+	+	n	+	-
uə	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
uʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
uʔu	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
uː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
uːː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	+
uˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	+	-	-	+	+	+	n	-	-
uˤʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	+	-	-	+	+	+	n	-	-
ũ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũʔũ	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ũː	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	+	-
ũˤ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	+	-	-	+	+	+	n	-	-
u̝	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
u̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
u̞	+	+	-	+	+	+	-	n	-	-	-	.	.	+	-	-	-	+	+	+	n	-	-
ṳ	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
ṳo̤	+	+	-	+	+	+	-	n	-	-	+	+	+	.	-	-	-	+	+	+	n	+	-
ṳʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
ṳː	+	+	-	+	+	+	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	+	-
ṳˤ	+	+	-	+	+	+	-	n	-	-	+	+	+	+	+	-	-	+	+	+	n	-	-
ṳ̃	+	+	-	+	+	+	-	n	+	-	+	-	-	+	-	-	-	+	+	+	n	-	-
ṳ̃ˤ	+	+	-	+	+	+	-	n	+	-	+	+	+	+	+	-	-	+	+	+	n	-	-
u̥	+	-	-	+	+	-	-	n	-	-	+	+	+	+	-	-	-	+	+	+	n	-	-
u̯o	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
ṵ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ṵː	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
v	-	-	+	-	+	+	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
vɾ	-	+	+	+	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
vʰ	-	-	+	-	+	+	-	n	-	+	+	+	n	-	-	+	-	-	-	+	-	-	-
vʲ	-	-	+	-	+	+	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
vʷ	-	-	+	-	+	+	-	n	-	+	-	.	n	-	-	+	-	-	+	+	-	-	-
vˡ	-	-	+	-	+	+	-	+	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
vˤ	-	-	+	-	+	+	-	n	-	+	-	.	n	-	+	+	-	+	-	+	-	-	-
ṽʲ	-	-	+	-	+	+	-	n	+	+	-	-	n	+	-	+	-	-	-	+	-	-	-
v̌	-	+	+	+	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
v̤	-	-	+	-	+	+	-	n	-	+	+	.	n	-	-	+	-	-	-	+	-	-	-
v̥	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
w	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
w*	-	-	-	+	+	+	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
wɦ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
wʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wʲ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
wʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	+	-	+	+	+	.	-	-
wː	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	+	-
wˤ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	+	+	-	+	-	+	.	-	-
w̃	-	-	-	+	+	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
x	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
xʰ	-	-	+	-	+	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
xʲ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
xʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
xʼ	-	-	+	-	+	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
xː	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
x̀	-	-	+	-	+	-	-	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
x̀ʷ	-	-	+	-	+	-	-	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
x͡ɸ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
y	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	+	+	n	-	-
yi	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	.	-	n	+	-
yː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	+	+	n	+	-
ỹ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	+	+	n	-	-
z	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
zʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
zʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
zʷ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
zʼ	-	-	+	-	+	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
zˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
z̤	-	-	+	-	+	+	-	-	-	+	+	.	n	-	-	+	+	-	-	-	-	-	-
z̪	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
z̪v	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
z̪ʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
z̪ː	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
z̪ˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
z̪ˤː	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	+	-
z̻	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
z̻ˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	+	-	+	+	-	-	+	-	-
z͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
æ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	+	-
æ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	-	-	-	n	-	-
ð	-	-	+	-	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ðn	-	-	+	.	+	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
ðʲ	-	-	+	-	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	.	-	-
ðˠ	-	-	+	-	+	+	-	-	-	-	-	.	n	+	-	+	+	+	-	-	.	-	-
ðˤ	-	-	+	-	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	.	-	-
ø	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	-	-
øə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	.	-	n	+	-
øː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	+	-
ø̆	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	+	+	n	-	+
ħ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ħʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋg̥	-	-	+	-	-	-	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋkxʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋtw	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	+	+	-	-	-
ŋʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ŋʷ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
ŋʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ŋː	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	+	-
ŋ̥	-	-	+	+	-	-	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ŋ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ŋ͡m	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ŋ͡mʲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
œ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	+	+	n	-	-
œi	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	-	.	-	n	+	-
œu	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	+	+	n	+	-
œː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	+	+	n	+	-
œ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	+	+	n	-	-
ǀ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǀn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	+	+	+	-	-	+	-	-
ǀn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǀqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	+	+	+	-	-	+	-	-
ǀs	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǀʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	+	-	-	+	-	-
ǁ	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁkxʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǁn	-	-	+	-	-	+	-	+	+	-	-	.	n	+	-	+	+	+	-	-	.	-	-
ǁn̥	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁq	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁqʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǁqʰ	-	-	+	-	-	-	-	+	-	-	+	n	n	+	-	+	+	+	-	-	.	-	-
ǁx	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǁʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	+	-	+	+	+	-	-	.	-	-
ǂ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǂn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	-	+	+	-	-	+	-	-
ǂn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǂqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	-	+	+	-	-	+	-	-
ǂx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǂʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	+	+	-	-	+	-	-
ǃ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃd	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ǃn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	+	+	+	-	-	-	-	-
ǃn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ǃqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	+	+	+	-	-	-	-	-
ǃr	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃs	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃt	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃz	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʃ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʒ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ǃʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	+	-	-	-	-	-
ɐ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
ɐː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
ɑ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɑː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
ɑ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɒ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	+	+	n	-	-
ɒː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	+	+	n	+	-
ɓ	-	-	+	-	-	+	+	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɓʷ	-	-	+	-	-	+	+	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
ɓ̥	-	-	+	-	-	-	+	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɓ̥ˠ	-	-	+	-	-	-	+	n	-	-	-	.	n	+	-	+	-	+	-	+	+	-	-
ɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔi	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	.	-	n	+	-
ɔi̯	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	.	-	n	+	-
ɔj	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	+	.	-	n	+	-
ɔʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ɔ̝	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	-	-
ɔ̝ː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ɔ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-
ɕ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ɕɥ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ɕʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
ɖ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖɽ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖʐ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɖʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖ˞	-	-	+	-	-	-	+	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɗ	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɗʒ	-	-	+	-	-	+	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ɗʷ	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
ɗ̪	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ə	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
əe	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	-	-	n	+	-
əi	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	-	-	n	+	-
əo	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	.	-	n	+	-
əu	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
əː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ə˞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	+	+	-	-	n	-	-
əˤ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ə̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ə̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ə̆	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	+
ə̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	-	-
ə̟	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ə̯i	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	-	-	n	+	-
ɛ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛi̯	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	-	-	n	+	-
ɛʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɛ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɛ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ɛ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	-	-	-	-	-	-	-	n	-	-
ɜ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ɜː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ɟ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɟʑ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	-	.	-	-	-	+	-	-
ɟʝ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɟʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɟʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
ɟ̥	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɠ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
