GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
dˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
d̀	-	-	+	-	-	+	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
d̂	-	-	+	-	-	+	-	-	-	-	-	-	n	-	-	+	+	-	-	-	-	-	-
d̏	-	-	+	-	-	+	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
d̥	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
d̪	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
d̪z̪	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
d̪z̪ʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
d̪z̪ʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	+	-	-
d̪ð	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
d̪ʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	.	.	-	-	-	+	-	-
d̪ʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
d̪ʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
d̪ː	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
d̪ˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
d̪ˤː	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
d̻	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
d̻ʑ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
d̻ʒ̻	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
dβ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
