GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
uaː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uã	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uãː	.	-	+	-	.	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uä	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ua̟	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ue	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uei	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uei̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uẽ	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
ue̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
ui	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uie	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uiɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
ui̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uo	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uoː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uo̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uy	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uæ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uœ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uɐ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uɑ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uɑi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uɑ˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	.	+	+	+	+	.	.	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uɑ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uɔ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uɔː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
uəi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uə̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
uɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uɛ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uɜ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
uɨ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
uʊ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uʌ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uʌ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uʱ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
uˀ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
uː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uːa	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
uːe	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uːĭ	.	-	+	.	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
uːə	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
uːʌ	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
uˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	+	+	+	+	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u˞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	+	+	+	+	+	+	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
u˞ˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	+	+	+	+	+	+	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
uˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
uˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
ũ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ũã	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ũi	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
ũĩ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
ũo	.	-	+	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ũoː	.	-	+	-	.	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ũɔ̃ː	.	-	+	-	.	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
ũə	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
ũɪ̯̃	.	-	.	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	+	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
ũː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ũˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
ŭ	.	-	+	+	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ŭ̃	.	-	+	+	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ü	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
üː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
u̘	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	+	+	-	-	-	.	.	-	-	.
u̙	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	+	-	+	-	-	-	.	.	-	-	.
u̜	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̞ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̞ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̟	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	.	+	-	-	+	-	-	-	.	.	-	-	.
u̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̠u	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ṳ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
ṳa	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	.	-	.	.	-	-	.
ṳa̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	+	-	.	.	-	-	.
ṳi̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	+	-	.	.	-	-	.
ṳə̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	+	-	.	.	-	-	.
ṳː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
ṳˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
ṳ̃ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
u̥	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	-	-	-	-	.	.	-	-	.
u̯	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯a	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯ai	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯ai̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯aː	.	-	.	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯ã	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯e	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯ei̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯eu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯i	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯o	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯oː	.	-	.	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯õ	.	-	.	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯õː	.	-	.	-	.	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯æi	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	+	-	-	+	-	-	-	.	.	-	-	.
u̯ɑ	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	+	+	-	-	+	-	-	-	.	.	-	-	.
u̯ɔ	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɔː	.	-	.	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɔ̃	.	-	.	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
u̯ə	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
u̯ə̃	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɛ	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɛi	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɛi̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
u̯ɛ̃	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
ũ̯	.	-	-	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ṵ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
ṵː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
ṵ̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
u̽i	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	+	-	.	-	+	-	-	+	-	-	-	.	.	-	-	.
u͓	.	-	+	-	-	-	+	+	+	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
uᴱ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	+	-	-	.	.	-	-	.
v	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
vɾ	.	-	-	-	-	+	.	+	+	.	.	-	-	-	.	-	+	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
vʱ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
vʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
vʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	.	.	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
vː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
vˠ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
vˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
ṽ	.	-	-	-	-	+	-	+	+	-	-	-	+	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
v̤	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
v̥	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
v̩	.	-	+	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
v̼	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	+	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
w	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
wʱ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	-	-	-	-	-
wʲ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	-	-	-	-	-
wʼ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	-	-	-	+	-	-	+	-	-
wˀ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-
wː	.	-	-	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
w˞	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	+	+	+	+	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
wˤ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	.	-	+	-	-	-	-	-	-	-	-
w̃	.	-	-	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
ẅ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	.	.	-	-	+	-	-	-	-	-	-	-	-
w̜	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
w̜ʲ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	+	-	.	.	+	-	-	+	-	-	-	-	-	-	-	-
w̞	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
w̤	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	+	-	-	-	-	-	-
w̥	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
w̰	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-
x	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
xh	.	-	-	-	-	.	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	.	+	-	-	-	.	-	-	-	-	.	-	-	-	-	-	-
xk	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
xʀ̥	.	-	-	-	-	+	.	+	+	.	-	.	-	-	-	.	.	-	.	.	.	+	.	-	-	.	.	-	-	-	-	-	-	-	-	-	-	-
xʰ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	+	-	-	-	-	-	-
xʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	.	-	.	-	-	-	-	-	-	-	-	-	-	-
xʲː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	.	-	.	-	-	-	-	-	-	-	-	-	-	-
xʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
xʷʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	+	-	-	+	-	-
xʷː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
xʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	+	-	-	+	-	-
xː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
x̟ʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
x̠	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	-	+	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
x̥	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
x͈	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	+	-	-	-	-
x͈ʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	+	-	-	-	-
x͈ː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	+	-	-	-	-
x͉	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	-	-	+	-	-	-
y	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ya	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ye	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
