GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ʼɲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	.	-	-	.	-	-	.	-	-
ʼʃ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	-	-	-	.	-	-	.	-	-
ˀb	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀb͉	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	.	-	+	-	-	-
ˀc	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	.	-	-	-	-	-
ˀd	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀd̠ʒ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀd̪	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀg	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	.	-	-	-	-	-
ˀgb	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	.	-	-	-	-	-
ˀgʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	+	-	-	.	-	-	-	-	-
ˀj	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	.	-	-	-	-	-
ˀj̥	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	+	-	+	-	+	-	-	-	-	-	.	-	-	-	-	-
ˀj̰	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	+	-	+	-	+	-	-	+	-	-	+	-	-	-	-	-
ˀk	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	.	-	-	-	-	-
ˀkp	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	.	-	-	-	-	-
ˀkʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	-	.	-	-	-	-	-
ˀl	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀl̪̥	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀm	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀmː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀm̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀn	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀnː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀn̪̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀo̯	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	.	.	.	-	-	.
ˀp	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀq	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	.	-	-	-	-	-
ˀr	.	-	-	-	-	+	+	+	.	+	-	+	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	.	-	-	-	-	-
ˀs	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀt	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀt̪	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀt̪s	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀt̪ɬ	.	-	-	-	-	+	-	.	.	-	-	-	-	.	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	-	-	-	.	-	-	-	-	-
ˀw	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	+	-	-	.	-	-	-	-	-
ˀw̥	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	-	-	-	.	-	-	-	-	-
