INVENTORY	GLOTTOCODE	SEGMENTS
2360	rawa1265	a aː b d d̠ʒ e eː ə əː ɡ i iː j kʰ l m n ŋ o oː ɵ ɵː pʰ ɻ s ʃ tʰ t̠ʃʰ u uː w x z ʔ
2361	saek1240	a aː b c cʰ d e eː ɛ ɛː ɤ ɤː f h i iː ia j k kʰ l m n ɲ ŋ o oː ɔ ɔː p pʰ r s t tʰ u uː ua ɯ ɯː ɯa v w ʔ
2362	chuk1273	ä e̞ ə̆ ɣ i j kx ɬ̪̺ m n̪̺ ŋ o̞ p qχ r̺ t̪̺ tɕ u w ʔ
2363	mace1250	ä b c d̪ d̪z̪ d̠ʒ e ə f ɡ i j ɟ k l ɫ̪ m n̪ ɲ o p r s̪ ʃ t̪ t̪s̪ t̠ʃ u v x z̪ ʒ
2364	pare1266	a ã ɖ e ẽ ɡ i ĩ j k l m n ɲ ŋ ɔ ɔ̃ p r ɽ s t u ũ z ʔ
2365	taus1251	ä b d d̠ʒ ɡ h i j k l m n ɲ ŋ p ɾ s t̪ t̠ʃ u w z ʔ
2366	lada1244	b d̪ dz d̠ʒ ɖ e ə ɡ h i j k kʰ l l̥ m n ɲ ŋ o p pʰ r s ʂ ʃ t̪ t̪ʰ ts tsʰ t̠ʃ t̠ʃʰ ʈ ʈʰ u w z ʒ
2367	shan1277	a aː b c d e ɛ ɤ f h i j k kʰ l m n ŋ o ɔ p pʰ s sʰ t tʰ u ɯ ɰ v w x ʑ ʔ
2368	bulg1262	ä b bʲ c d̪ dʲ d̪z̪ d̠ʒ ɛ ɤ̟ f fʲ ɡ i j ɟ k ɫ̪ ʎ m mʲ n ɲ ɔ p pʲ r rʲ s̪ sʲ ʃ t̪ tʲ t̪s̪ tsʲ t̠ʃ u v vʲ x z̪ zʲ ʒ
2369	spit1240	a b d dz dʑ ɖ e ɛ ɡ h i j k kʰ l m n ɲ ŋ o ɔ p pʰ r ɽ s ʂ ʃ t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u w z ʒ
2370	gily1242	ä cç cçʰ e̞ ɣ h i ɨ j k kʰ l m n ɲ ŋ o̞ p pʰ ɸ q qʰ r r̥ ʁ s t tʰ u w x z β χ
2371	lazz1240	a b cʰ cʼ d̪ dz d̠ʒ ɛ f ɡ h i j ɟ kʰ kʼ l m n̪ ɔ pʰ pʼ qχʼ ɾ ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u v z ʒ χ
2372	nort2686	ɑ ɑː ɒ ɒː c cçː ɕ ɛ ɛː ɞ ɞː ɣ ɪ ɪː l̺ m n ɲ ŋ ɶ ɶː ɵ ɵː p pː q qː r̺ s̺ t tː ɯ̽ ɯ̽ː ʔ
2373	atay1247	ä ɛ ɣ ħ i j k l m n ɔ p q r s t ts u w x y ʒ ʔ β
2374	luuu1242	a aː b c d e eː ɛ ɛː ɤ ɤː f h i iː j k l m n ŋ o oː ɔ ɔː p pʰ r s t tʰ u uː ɯ ɯː v w x ʔ
2375	arag1245	ä b d̪ e f ɡ i i̯ ɟʝ̞ k l ʎ m n ɲ o p r ɾ̞ s̺ ʃ t̪ t̠ʃ u u̯ x θ
2376	khan1273	ɑ̟̝ ɑ̟ˑ b ç ɕː d eˑ ə̆ ɛ ɞ f ɡ i j k l ɬ ɬʲ m n ɲ ŋ o̟ˑ p r s ʃ t ts t̠ʃ u̞ˑ ʊ̈ w x̠ z ʒ
2377	brah1256	a ã aː ãː b d̪ d̠ʒ ɖ ɛ ɛː ɛ̃ː f ɡ ɣ h i ĩ iː ĩː j k l̪ ɬ̪ m n̪ ɔː ɔ̃ː p r̪ ɽ s̪ ʃ t̪ t̠ʃ ʈ u ũ uː ũː w x z̪ ʒ
2378	faro1244	a aɪ eː ɛ ɛa ɛɪ f h iː ɪ j k kʰ l m n oː øː œ ɔ ɔa ɔɪ ɔu p pʰ r s ʃ t tʰ uː ʉu ʊ ʊɪ v ʏ
2379	dzal1238	a aː ai au b c cʰ ɕ d dz dʑ ɖʐ e eː eu ɛ ɛː ɡ h i iː iu j ɟ k kʰ l l̥ m n ɲ ŋ o ø oː øː ɔ ɔː p pʰ r s ʂ t tɕ tɕʰ tʰ ts tsʰ ʈʂ ʈʂʰ u uː w y yː z ʑ ʔ
2380	tibe1272	a aː ãː e eː ẽː ɛ ɛ̃ː h i iː ĩː j k kʰ kʲ kʲʰ l l̥ m n ɲ ŋ o ø oː õː ø̃ː ɔ ɔː p pʰ ɹ ɹ̥ s ʂ t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u uː ũː w y ỹː
2381	basq1250	ä ã̈ b c d e̞ ẽ̞ f ɡ h h̃ i ĩ i̯ ɟ k kʰ l̺ ʎ m n̺ ɲ o̞ õ̞ p pʰ r̺ s̺ s̻ ʃ t tʰ ts̺ ts̻ t̠ʃ u ũ u̯ y ỹ z̺ z̻ ʒ
2382	kirg1245	ɑ ɑː b d̪ d̠ʒ e̞ e̞ː f ɢ i iː j ɫ m n ɴ ø̞ o̞ ø̞ː o̞ː p q r s̪ ʃ t̪ t̪s̪ t̠ʃ u uː ɯ ɯː v y yː z̪ χ
2383	darm1243	a ã b c d̪ ɖ e ɛ ɡ h i j ɟ k kʰ l m n̪ ŋ o õ p pʰ ɾ s t t̪ tʰ t̪ʰ ʈ ʈʰ u w χ
2384	komi1277	ä̠ b c ɕ d̻ dʑ ɖʐ e̠ f ɡ i̠ j ɟ̟ k ɫ ʎ̟ m n̻ ɲ̟ o ɵ̟ p r rʲ s̻ ʂ t̻ tɕ t̻s̪̻ ʈʂ u ʉ̟ v ʌ z̻ ʐ ʑ
2385	laoo1244	a b c d e ɛ ɤ f h i ia j k kʰ l m n ɲ ŋ o ɔ p pʰ s t tʰ u ua ɯ ɯɑ v w ʔ
2386	puoc1238	ä äː b c d ə əː ɛ ɛː ɡ h i iː iə ɨ ɨː ɨə k kʰ l m n ɲ ŋ o oː ɔː p pʰ s t tʰ u uː uə w zʲ ʔ
2387	telu1262	a aː æː b bʰ c cʰ d̪ d̪ʰ ɖ ɖʰ e eː f ɡ ɡʰ h i iː j ɟ ɟʰ k kʰ l̪ ɭ m n̪ ɳ o oː p pʰ r̪ s̪ ʂ ʃ t̪ t̪ʰ ʈ ʈʰ u uː w
2388	east2773	a ã ɑ ɑ̃ b d dʑ ɖ e ẽ ɡ h i ĩ j k kʰ l m n ŋ o õ p pʰ ɾ s t tɕ tɕʰ tʰ ʈ ʈʰ u ũ w
2389	osse1243	ɐ̆ ɑ̝̹ b̥ ɕ d̺̥ d̺̥z̺̥ d̥ʒ̥ e̞ f ɡ̊ ɡ̊ʷ i ɨ̆ j k kʰ kʷ kʷʰ kʷʼ kʼ l m n̺ o̞ p pʰ pʼ q qʷ r̺ ʁ ʁʷ t̺ t̺ʰ t̺s̺ t̺s̺ʰ t̺s̺ʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̺ʼ u v w ʑ χ χʷ
2390	bats1242	ɑ ɑ̃ ɑː b d̪ dz d̠ʒ e ẽ ɛː f ɡ h ħ ʜ i ĩ i̯ ĩ̯ iː ie kʰ kʼ ɫ ɬ m n o̞ õ̞ o̞ː pʰ pʼ qʰ qχʼ ɾ ʁ s ʃ t̪ʰ tsʰ tsʼ t̠ʃʰ t̠ʃʼ t̪ʼ u ũ u̯ z ʒ ʡ χ
2391	hela1238	a aː b c cʰ ɕ d dz dʑ ɖ e eː ɡ h i iː j ɟ k kʰ l l̥ m n ɲ ŋ ɔ ɔː p pʰ ɹ ɹ̥ s t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u uː w z ʑ
2392	svan1243	ä äː æ æː b d̪ dz d̠ʒ ɛ ɛː ɡ h i iː j kʰ kʼ l m n̪ œ œː ɔ ɔː pʰ pʼ qʰ qʼ r ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u uː ɯ w y yː z ʒ χ
2393	kyer1238	a aː ãː b c cʰ ɕ d dz dʑ ɖ e ẽ eː ɛ ɛː ɛ̃ː ɡ h ɦ i iː j ɟ k kʰ l l̥ m n ⁿb ⁿd ⁿdz ⁿdʑ ɲ ŋ o ø oː õː øː ø̃ː p pʰ r s t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u uː ũː w y yː ỹː z ʑ
2394	dzon1239	aːu ai au ɑ ɑː ɑ̃ː b ɕ d dz dʑ ɖ e eː ẽː eu ɛː ɛu ɡ h i iː ĩː iu j k kʰ l l̥ m n ɲ ŋ o oː õː øː ou øu p pʰ r s t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u uː ũː w ʏː z ʑ
2395	kett1243	ä æ b d e ə ɛ h i j k ɮ̺ m n̺ ŋ o ɔ p qχ ɾ s̺ t u ɯ ʌ
2396	wayu1241	a ã aː ãː b d̪ dz dʑ e ẽ eː ẽː ɡ h i ĩ iː ĩː ɪ ɪ̃ ɪː ɪ̃ː j k kʰ l l̥ m n̪ ŋ o õ oː õː p pʰ ɾ s t̪ tɕ t̪ʰ ts tsʰ u ũ uː ũː ʊ ʊ̃ ʊː ʊ̃ː w ʍ x
2397	paiw1248	ä b c d ɖ ə ɡ i j ɟ k ʎ m n ŋ p q r ɺ t ts u v w ʔ
2398	stan1295	a aː b ç d̺ d̠ʒ eː ə ɛ ɛː f ɡ h iː ɪ j kʰ l m n ŋ oː øː œ ɔ pf pʰ ʀ s ʃ t̺ʰ ts t̠ʃ uː ʊ v yː ʏ z ʒ
2399	east2295	a aː ai b d dz d̠ʒ e ei ə f ɡ h i iː k l lʲ m n nʲ o oi ou p ʀ s̺ ʃ t ts t̠ʃ u uː v x z̺ ʒ
2400	udmu1245	æ ɑ b c̟ ɕ d̻ d̠ʒ ɛ f ɡ i j ɟ̟ k ɫ ʎ̟ m n̻ ɲ̟ ŋ o̞ ɵ̞ p r s̻ ʂ t̻ t̻s̪̻ t̠ʃ u ʉ ɯ̽ v x z̻ ʐ ʑ
2401	kaba1278	ä ɑː b ɕ d dz dʑ e̞ː ə f fʼ ɡʷ ɣ ħ iː j kʷ kʷʼ kʼ l ɬ ɬʼ m n o̞ o̞ː p pʼ q qʷ qʷʼ qʼ r ʁ ʁʷ s ʃ ʆ ʆʼ t tɕ tɕʼ ts tsʷʼ tsʼ t̠ʃ t̠ʃʼ tʷʼ tʼ uː v w x xʷ z zʷ ʑ ʒ ʓ ʔ ʔʷ χ χʷ
2402	nene1249	ɑː b bʲ ð dʲ ə ɤː ɨ ɨː j k l ʎ m mʲ n ɲ ŋ oː p pʲ r rʲ s sʲ t tʲ ts tsʲ u uː w wʲ x ʔ
2403	kara1464	ɑ b bʲ d dʲ e ɡ ɡʲ i j kʰ kʲʰ l ɫ m mʲ n nʲ ø o̞ pʰ ɾ ɾʲ s sʲ ʃ ʃʲ tʰ tʲʰ t̠ʃ t̠ʃʲ u ɯ w y z zʲ
2404	varl1238	ä ã̈ b bʰ d̪ d̪ʰ d̠ʒ d̠ʒʰ ɖ ɖʰ ẽ ə ə̃ ɛ ɡ ɡʰ h i ĩ iː ĩː j k kʰ l ɭ m n o õ oː õː p pʰ ɾ s t̪ t̪ʰ t̠ʃ ʈ ʈʰ u ũ uː ũː ʋ
2405	dutc1256	ã aː ɑ b d eː ə ɛ ɛ̃ ɛː ɛi f ɦ i iː ɪ j k l m n ŋ oː øː œː œy ɔ ɔ̃ ɔː p ɾ s t u uː v ʋ ʌu y yː ʏ z χ
2406	wels1247	a ai au ɑː ð d̠ʒ eː ə əi əu ɛ ɛu f h iː ɪ ɪu j k kʰ l ɬ m m̥ n n̥ ŋ ŋ̥ oː ɔ ɔi p pʰ r r̥ s ʃ t tʰ t̠ʃ uː ʊ ʊi v w z θ χ
2407	japh1234	a b c cʰ ɕ d dz dʑ ɖʐ e ɤ ɡ ɣ i j ɟ k kʰ l l̥ m n ⁿb ⁿd ⁿdz ⁿdʑ ⁿɖʐ ⁿɡ ⁿɢ ⁿɟ ɲ ŋ o p pʰ q qʰ r ʁ s ʂ t tɕ tɕʰ tʰ ts tsʰ ʈʂ ʈʂʰ u ɯ w x y z ʑ ʔ χ
2408	osse1243	ɐ̆ ɑ̝̹ b̥ d̺̥ d̺̥z̺̥ d̥ʒ̥ e̞ f ɡ̊ ɡ̊ʷ i ɨ̆ j k kʰ kʷ kʷʰ kʷʼ kʼ l m n̺ o̞ p pʰ pʼ q qʷ r̺ ʁ ʁʷ s̺ t̺ t̺ʰ t̺s̺ t̺s̺ʰ t̺s̺ʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̺ʼ u v w z̺ χ χʷ
2409	ming1252	ɑ b d̪ dz d̠ʒ ɛ ɡ h i j kʰ kʼ lʲ m n̪ ɔ pʰ pʼ qχʼ r ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u v w z ʒ ʔ χ
2410	lazz1240	a b d̪ dz d̠ʒ ɛ f ɡ h i j kʰ kʼ l m n̪ œ ɔ pʰ pʼ ɾ ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u v y z ʒ χ
2411	tibe1272	a aː c cʰ ɕ eː ə ɛː h iː ɪ j k kʰ l l̥ m m̥ n̪ ɲ ŋ oː øː ɔ p pʰ r r̥ s t̪ tɕ tɕʰ t̪ʰ ts tsʰ ʈ ʈʰ uː ʊ w yː ʔ
2412	alut1245	ä äː ɕ e̞ː ə̞̆ ɣ i iː j k l̪ l̪ʲ m n̪ n̪ʲ ŋ o̞̜ː p qˤ r t̪ u uː v w ʔ ʡˤ
2413	east2328	a æ ð̪̺ e ɣ i ɪ̈ j k l̺ ʎ m n̺ ɲ ŋ o œ p r s sʲ ʂ t̪̺ tɕ ʈʂ u y̞ z zʲ ʐ β
2414	nort2741	a b c d e ɛ ɤ f h i ia j k kʰ l m n ɲ ŋ o ɔ p pʰ s t tʰ u ua ɯ ɯɑ w ʔ
2415	sikk1242	a aː ãː ɐi ɐu ɕ e eː ẽː ɛ ɛː ɛ̃ː h i iː ĩː iu j k kʰ l l̥ m n n̥ ⁿb ⁿd ⁿdz ⁿdʑ ⁿɖ ⁿɡ ɲ ɲ̊ ŋ ŋ̊ o ø oː õː øː ø̃ː ou p pʰ r r̥ s t tɕ tɕʰ tʰ ts tsʰ ʈ ʈʰ u uː ũː w y yː ỹː z ʑ ʔ
2416	nucl1301	ä äː æ b cʰ d̻ d̠ʒ e̞ e̞ː f ɡ h i iː j ɟ kʰ l̻ ɫ̻ m n̻ ø̞ o̞ o̞ː pʰ ɾ̻ s̻ ʃ t̻ʰ t̠ʃʰ u uː ɯ ɯː ʋ y z̻ ʒ
2417	ming1252	ɑ b d̪ dz d̠ʒ ə ɛ ɡ h i j kʰ kʼ lʲ m n̪ ɔ pʰ pʼ qχʼ r ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u v w z ʒ ʔ χ
2418	yagn1238	a ɑː b d d̠ʒ eː f ɡ h ħ iː ɪ j k l m n o̞ː p q r ʁ s ʃʲ t t̠ʃ uː ʊ v yː z ʒʲ ʕ β̞ χ χʷ
2419	basq1248	ä äː b c d d̠ʒ e̞ e̞ː f ɡ i i̯ iː ɟ k l̺ ʎ m n̺ ɲ o̞ o̞ː p r̺ ɾ̺ s̺ s̻ ʃ t ts̺ ts̻ t̠ʃ u u̯ uː x
2420	zhon1235	a ɑ b d dz d̠ʒ ɖʐ e ə ɛ ɡ ɣ ʰk ʰp ʰt ʰts ʰt̠ʃ i k kʰ l l̥ m m̥ mpʰ n n̥ ⁿb ⁿd ⁿdz ⁿd̠ʒ ⁿɖʐ ⁿɡ ntʰ ntsʰ n̠t̠ʃʰ ɲ ɲ̊ ɳʈʂʰ ŋ ŋ̊ ŋkʰ o ɔ p pʰ q qʰ r r̥ ʁ s ʂ ʃ t tʰ ts tsʰ t̠ʃ t̠ʃʰ ʈʂ ʈʂʰ u w z ʐ ʒ χ
2421	tibe1272	a aː æ c cʰ ɕ eː ə ɛː h iː ɪ j k kʰ l l̥ m m̥ n ɲ ŋ oː øː ɔ p pʰ r s t̪ tɕ tɕʰ t̪ʰ ts tsʰ ʈ ʈʰ uː ʊ w yː
2422	nort2741	a b c d e ɛ ɤ f h i ia j k kʰ l m n ɲ ŋ o ɔ p pʰ s t tʰ u ua ɯ ɯa w ʔ
2423	shan1277	a aː c cʰ d e ɛ ɤ h i j k kʰ l m n ɲ ŋ o ɔ p pʰ s sʰ t tʰ u ɯ ɰ v w ʔ
2424	osse1243	ɐ̆ ɑ b̥ d̺̥ d̺̥z̺̥ d̥ʒ̥ e̞ f ɡ̊ ɡ̊ʷ i ɨ̆ j k kʰ kʷ kʷʰ kʷʼ kʼ l m n̺ o̞ p pʰ pʼ q qʷ r̺ ʁ ʁʷ s̺ t̺ t̺ʰ t̺s̺ t̺s̺ʰ t̺s̺ʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̺ʼ u v w z̺ χ χʷ
2425	stan1289	a b d̪ dz̺ d̠ʒ e ɛ̞ f ɡ i i̯ j k l̺ ʎ̟ m n̺ ɲ̟ ŋ o ɔ̞ p r̺ ɾ̺ s̺ ʃ t̪ ts̺ t̠ʃ u u̯ v w z̺
2426	nyaw1245	a b c d e ɛ ɤ f h i ia j k kʰ l m n ɲ ŋ o ɔ p pʰ s t tʰ u ua ɯ w ʔ
2427	ital1282	a b d̪ dz d̠ʒ e ɛ f ɡ i j k l ʎ m n ɲ o ɔ p ɾ s ʃ t̪ ts t̠ʃ u v w z
2428	nucl1302	ɑ b d̪ dz d̠ʒ ɛ ɡ h i kʰ kʼ ɫ m n̪ ɔ pʰ pʼ qχʼ ɾ ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u ʋ z ʒ χ
2429	nort2722	a a˞ aː ɑ ɑː b ɕ d̪ dz dʑ ɖʐ e e˞ eː ei eu ə ə˞ əi əu ɡ h ɦ i i˞ iː ia iɑ ie j k kʰ l ɬ m n̪ ɲ ŋ o oː oi p pʰ ɸ q qʰ ʁ s ʂ t̪ tɕ tɕʰ t̪ʰ ts tsʰ ʈʂ ʈʂʰ u uː ua uɑ ue uə uəi ui w x y yː ye z ʐ χ
2430	cebu1242	b d̪ ɡ h ɪ j k l m n ŋ p r s t̪ ʊ ʌ w ʔ
2431	cent1973	a ɒː b d̪ dz ɖ eː ə ɡ ɣ h ɪ j kʰ m n œː pʰ ɽ ɽ̃ s ʃ t̪ʰ tsʰ t̠ʃʰ ʈʰ w x z ʒ
2432	osse1243	ɐ̹̆ ɑ b̥ d̺̥ d̺̥z̺̥ d̥ʒ̥ e̞ f ɡ̊ i ɨ̆ j k kʰ kʼ l m n̺ o̞ p pʰ pʼ q r̺ ʁ ʃ t̺ t̺ʰ t̺s̺ t̺s̺ʰ t̺s̺ʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̺ʼ u v w ʒ χ
2433	khak1248	ɑ ɑː b d d̠ʒ ɛ ɛː f ɡ iː ɪ̞ j k l m n ŋ œ œː ɔ ɔː p r ʁ s ʃ t ts t̠ʃ u uː ɯ ɯː v y yː z ʒ χ
2434	vach1239	æˑ ɑˑ c eˑ iˑ ɪ j l ɭ ʎ m n ɲ ɳ ŋ oˑ øˑ p q r ʁ s t ʈʂ ɯ̽ ɯˑ ʊ v yˑ ʏ
2435	gata1239	a ã b c ɖ e ẽ ɡ h i ĩ ia ɟ k l m n ⁿb ⁿd ⁿɖ ⁿɡ ⁿɟ ŋ o õ œ oi p r ɽ s t ʈ u ũ u̯a u̯e ui u̯i ʔ
2436	ming1252	ɑ b d̪ dz d̠ʒ ɛ ɡ h i j kʰ kʼ m n̪ ɔ pʰ pʼ qχʼ r ʁ s ʃ t̪ʰ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ u v w z ʒ ʔ χ
2437	sind1272	æ ɐ̆ ɑ b bʱ ɓ d̪ d̪ʱ d̻ʑ̻ d̻ʑ̻ʱ ɖ ɖʱ ɗ e f ɡ ɡʱ ɠ ɣ h i ɪ̆ j ʄ k kʰ l̪ l̪ʱ m mʱ n nʱ ɲ ɳ ɳʱ ŋ o ɔ p pʰ r ɽ ɽʱ s ʂ t̪ t̻ɕ̻ t̻ɕ̻ʰ t̪ʰ ʈ ʈʰ u ʊ̆ ʋ x z
2438	arbe1236	a b ç d ð dz d̠ʒ ɛ f ɡ ɡʲ ɣ i j k kʲ ɫ ʎ m n ɲ œ ɔ p r ɾ s ʃ t ts t̠ʃ u v z ʒ θ
2439	kurt1248	ɑ ɑː ɑu b c ç cʰ d̪ ɖ e eː ɡ h i iː iu j ɟ k kʰ l ɬ m n ɲ ŋ o oː oi p pʰ r s t̪ t̪ʰ t̪s̪ t̪s̪ʰ ʈ ʈʰ u uː ui w z ʔ
2440	kara1474	ä ã̈ b çː d d̠ʒ e̞ ɡ ɣ h ʜ i ĩ̞ j ʝ kʰ kxʼː kʼ l ɬ ɬː m n o̞ pʰ qχʰː r s sː sʼː ʃ ʃː ʃʼː tʰ tɬʰː tɬʼː tsʰ tsʰː tsʼ t̠ʃʰ t̠ʃʰː t̠ʃʼ tʼ u ũ w x xː z ʒ ʔ ʢ χʼː
2441	norw1258	ɑ ɑː b ç d ɖ eː ɛ f ɡ h i iː j kʰ l ɭ m n ɳ ŋ oː øː œ ɔ pʰ ɽ ɾ s ʂ tʰ ʈ u uː ʉ ʉː ʋ w y yː
2442	sout2679	æ æː ɑ ɑː e̞ ɤ̞ f fʲ h hʲ i iː ɪː j k kʲ l lʲ m mʲ n nʲ ø̞ o̞ p pʲ r rʲ s̪ sʲ t̪ tʲ t̪s̪ tsʲ u uː ɯ ʊː ʋ ʋʲ y yː ʏː ʔ
2443	roma1327	ä b bʲ ç d̪ dʲ d̠ʒ d̠ʒʲ e̞ e̯ä ə f fʲ ɡ ɡʲ h i i̯ ɨ k kʲ l lʲ m mʲ n̪ nʲ o̞ o̯ä p pʲ ɾ̪ ɾʲ s̪ sʲ ʃ ʃʲ t̪ tʲ t̪s̪ tsʲ t̠ʃ t̠ʃʲ u u̯ v vʲ z̪ zʲ ʒ ʒʲ
2444	yaku1245	a ɑː b cç d̺ ɛ ɛː ɡ ħ iː ie ɪ ɪ̈ ɨː ɨɛ j j̃ ɟʝ k ɫ̺ m n̺ ɲ ŋ œ œː ɔ ɔː p q r ʁ s̻ t̺ uː uɔ ʊ yː yø ʏ
2445	nort2699	a aː b d̪ dz ɖ e eː ɡ i iː j k l m n̪ ŋ o oː p r t̪ ʈ u uː v
2446	kare1335	æ ɑ e̞ h i iæ ie̞ j k l̪ lʲ m n̪ nʲ ø̞ o̞ p r s̪ sʲ t̪ tʲ t̠ʃ u uɑ uo̞ v y yæ yø̞
2447	slov1269	ä äː æ b c d dz d̺ʒ̺ ɛ ɛː f ɡ ɦ i̞ i̞ː ɪ̯ä ɪ̯ɔ ɪ̯u̞ j ɟ k lʲ ɫ ɫː ʎ m n ɲ ɔ ɔː p r rː s ʃ̺ t ts t̺ʃ̺ u̞ u̞ː ʊ̯ɔ ʋ x z ʒ̺
2448	livv1244	æ ɑ b c d̺ ɛ f ɡ h i ɨ j ɟ k l̺ ʎ m n̺ ɲ o p r rʲ s̺ ʃ t̺ u ʊ̜ v z̺ ʒ
2449	hebr1245	a b d ɛ f ɡ h i j k l m n o p ʁ s ʃ t ts u v x z ʔ
2450	fore1274	æ æː ɑ ɑː ɕ e̞ e̞ː ə̆ i iː j k kʲ l lʲ ɬ ɬʲ m mʲ n nʲ ŋ ŋʲ o̞ o̞ː p pʲ r s t tɕ u uː w wʲ x xʲ ʔ
2451	east2347	a aː ai au e eː h i iː i̯a i̯aː i̯ai i̯au i̯o i̯oː i̯oi i̯u i̯uː i̯uaː i̯ui j k kʰ l m n ŋ o oː oi p pʰ r s t tʰ ts tsʰ ʈ ʈʰ u uː u̯a u̯aː u̯ai u̯i w
2452	guja1252	ä ä̤ ã̈ː ã̤̈ː æ b b̤ʱ d̪ d̪̤ʱ d̠ʒ d̤ʒ̤ʱ ɖ ɖ̤ʱ e ə ə̤ ə̃ː ə̤̃ː ɛ ɛ̤ ɛ̃ː ɛ̤̃ː f ɡ ɡ̤ʱ ɦ i i̤ ĩː ĩ̤ː j k kʰ l m n ɳ o ɔ ɔ̤ ɔ̃ː ɔ̤̃ː p ɺ ɾ s ʃ t̪ t̪ʰ t̠ʃ t̠ʃʰ ʈ ʈʰ u ṳ ũː ṳ̃ː ʋ
2453	miya1259	ä e̞ f f̩ i̞ kʰ m m̩ n n̩ pʰ ɾ s s̩ tʰ ɯ̞ ʊ ʋ ʋ̩
2454	maga1260	a ã b bʰ c cʰ d̪ d̪ʰ ɖ ɖʰ e ẽ əi ə̃ĩ əu ə̃ũ ɡ ɡʰ h i ĩ j ɟ ɟʰ k kʰ l lʰ m mʰ n nʰ o õ p pʰ r rʰ ɽ ɽʰ s t̪ t̪ʰ ʈ ʈʰ u ũ ʌ ʌ̃ w
2455	slov1268	a aː b d̪ d̠ʒ eː ə ɛ ɛː f ɡ i iː j k l m n oː ɔ ɔː p r s̪ ʃ t̪ t̪s̪ t̠ʃ u uː ʋ w x z̪ ʒ
2456	puri1258	a b d̪ d̠ʒ e ə ɡ ɢ h i j k kʰ l m n ɲ ŋ o p pʰ q r s ʃ t̪ t̪ʰ ts tsʰ t̠ʃ t̠ʃʰ u w x z ʒ χ
2457	mand1415	a ai au ɕ ei ə ɤ f i ia iau ie iou iu j k kʰ l m n ŋ ou p pʰ ɹ̺ ɹ̪̩ s ʃ̺ t tɕ tɕʰ tʰ ts tsʰ t̠ʃ̺ t̠ʃ̺ʰ u ua uai uei uə uo w x y ye
2458	mode1248	ɐ b c ç d̪ ð e̞ f ɡ ɣ i ʝ ɟ k l ʎ m n ɲ̟ o̞ p ɾ̠ s̠ t̪ u v x z̠ θ
2459	kama1351	ɒ b ɕ d̪ dʑ e̞ ə ə̆ ə̟̆ ɡ ɣ i ɨ j kʰ l̪ lʲ m n̪ nʲ ŋ ø̞ o̞ pʰ r̪ s̪ sʲ tɕʰ t̪ʰ u w x y z̪ zʲ ʑ ʔ
2460	komi1268	ä̠ b c ɕ d̻ dʑ ɖʐ e ɘ̠ f ɡ i ɨ̠ j ɟ k l̻ ʎ m n̻ ɲ o p r rʲ s̻ ʂ t̻ tɕ t̻s̪̻ ʈʂ u ʋ x z̻ ʐ ʑ
2461	ngan1291	a ɐ b d ð e ə ɡ i ɨ j ɟ k l ʎ m n ɲ ŋ ɔ̟̜ p r s̺ t tɕ u̟ u̯ɑ x y ʔ
2462	viet1252	a aː ɓ ɗ e ɛ ɛː ɤ ɤː f ɣ h i iə k l m n ɲ ŋ o ɔ ɔː p s t tɕ tʰ u uə ɯ ɯə v w x z ʔ
2463	dhim1246	a ã aː ai au b bʰ d dʰ dʑ dʑʰ e ẽ eː eu ə ɡ ɡʰ ɦ i ĩ iː iu j j̊ k kʰ l l̥ m m̥ n n̥ ŋ o õ oː oi p pʰ ɾ ɾ̥ s t tɕ tʰ u ũ uː ui w ʍ ʔ
2464	mong1331	ä äː b bʲ d̪̥ d̥ʲ d̪z̪ d̠ʒ e eː ɡ ɡʲ ɢ i j kʰ ɮ ɮʲ m mʲ n̪ nʲ ŋ oː ɔ ɔː ɵ pʰ pʲʰ r rʲ s̪ ʃ t̪ʰ tʲʰ t̪s̪ʰ t̠ʃʰ u uː ɯ ʊ ʊː w̜ w̜ʲ χ χʲ
