INVENTORY	GLOTTOCODE	SEGMENTS
64	tolo1259	a ã aː ãː e̞ e̞ː ə ɣ h i ĩ iː ĩː j k kʷ kʷʼ kʼ l ɬ m mˀ n nˀ p s ʂ ʃ t tʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ ʈʂʼ u ũ uː ũː w x xʷ ʔ
65	hupa1239	a aː c cʰ cʼ e̞ e̞ː h hʷ ɪ j k kʰ kʼ l ɬ m n ŋ o̞ o̞ː p q qʰ qʼ s̻ ʃ t tʰ tɬʼ t̻s̻ t̻s̻ʰ t̻s̻ʼ t̠ʃ t̠ʃʷʰ t̠ʃʷʼ t̠ʃʼ tʼ w x xʷ ʔ
66	nava1243	˥ ˩ a ã aː ãː ɛ ɛ̃ ɛː ɛ̃ː ɣ h hʷ iː ĩː ɪ ɪ̃ j k kʰ kʷʰ kʼ l ɬ m n oː õː ɔ ɔ̃ p s ʃ t tʰ tɬ tɬʰ tɬʼ ts tsʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ w x xʷ z ʒ ʔ ˀj ˀm ˀn
67	nort2938	a c ç cʰ cʼ dl h i j k kʰ kʷ kʷʰ kʷʼ kʼ l ɬ m n ŋ p pʰ q qʰ qʷ qʷʰ qʷʼ qʼ s t tʰ tɬʰ tɬʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ ʊ w x xʷ ʔ ˀj ˀl ˀm ˀn ˀŋ ˀw χ χʷ
68	squa1248	a aː e eː ə h j k kʷ kʷʼ kʼ l m n o oː p pʼ q qʷ qʷʼ qʼ s ʃ t tɬ tɬʼ ts tsʼ t̠ʃ t̠ʃʼ tʼ w xʷ ʔ χ χʷ
69	stra1244	a aː b d dz d̠ʒ eː ə ɡ ɡʷ h ɪ j k kʷ kʷʼ kʼ l ɬ m n p pʼ q qʷ qʷʼ qʼ s ʃ t tɬʼ ts tsʼ t̠ʃ t̠ʃʼ tʼ ʊ ʊː w xʷ ʔ χ χʷ
70	nuuc1236	a aː ɛ ɛː h ħ i iː j k kʷ kʷʼ kʼ ɬ m n o oː ɔ ɔː p pʼ q qʷ qʷʼ qʼ s ʃ t tɬ tɬʼ ts tsʼ t̠ʃ t̠ʃʼ tʼ w x xʷ ʔ ʔˤ ˀj ˀm ˀn ˀw χ χʷ
71	kwak1269	a aː æ b ç cʰ cʼ d dl dz ə ɡʷ ɢ ɢʷ h ħ i iː j ɟ kʷʰ kʷʼ l l̩ ɬ m m̩ n n̩ ɔ pʰ pʼ qʰ qʷʰ qʷʼ qʼ s tʰ tɬʰ tɬʼ tsʰ tsʼ tʼ u uː w xʷ ʔ ˀj ˀl ˀm ˀn ˀw χ χʷ
72	east2542	a aː ãː ɛː ɛ̃ː iː ĩː ɪ k k͈ː l m n oː õː p p͈ː s s͈ː ʃ ʃ͈ː t t͈ː t̠ʃ t̠͈ʃː ʊ ʔ
73	unam1242	a aː ãː æː æ̃ː ə ə̃ː ɛ h hː i iː ĩː j k kː l lː m mː n nː ɔ ɔː ɔ̃ː p pː s ʃ t tː t̠ʃ t̠ʃː u uː ũː w wː x
74	wich1260	ɒ ɒː eː ɛ ɛː ɦ i j k kʰ kʷ kʷʰ kʼ n nː oː ɾˀ s sː sˀ t tːs tʰ ts tsʼ ʈʂʰ u w ʔ
75	lako1247	a ã e̞ ə̆ ɣ h i ĩ j k kʰ kʼ m n o p pʰ pʼ s sʼ ʃ ʃʼ t tʰ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ u ũ w x xʼ z ʒ ʔ
76	sene1264	a aː æ æː b dz e eː ɛ̃ ɛ̃ː h i iː j k m n o̞ o̞ː ɔ̃ ɔ̃ː s̻ t u uː w ʔ
77	onei1249	a aː e̞ e̞ː ə̃ ə̃ː ɤ̞ ɤ̞ː h i iː j k l n s t t̠ʃ ɯ̃ ɯ̃ː ɰ ʔ
78	yuch1247	a ã aː ãː æ æ̃ æː æ̃ː b d dz d̠ʒ e ẽ̞ eː ẽ̞ː ɡ h i iː ɪ̃ ɪ̃ː j k kʰ kʼ l ɬ ɬʼ n o õ̞ oː õ̞ː p pʰ pʼ ɸ ɸʼ s sʼ ʃ ʃʼ t tʰ ts tsʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tʼ u uː ʊ ʊ̃ ʊː ʊ̃ː w ʔ ˀj ˀl ˀn ˀw
79	alab1237	a aː b eː h ɪ j k l ɬ m n o oː p ɸ s t̪ t̠ʃ w ʔ
80	tuni1252	a b d e ɛ f ɡ h i j kʰ l m n o ɔ pʰ r s̻ ʃ tʰ t̠ʃʰ u w ʔ
81	nezp1238	a aː æ æː h iː ɪ j j̰ k kʼ l̻ l̻̰ ɬ m m̰ n n̰ ɔ ɔː p pʼ qʼ qχ s̻ t t̪ tʼ t̪ʼ ɯ̞ ɯː w w̰ x ʔ χ
82	nort2952	a ɓ cʰ cʼ ɗ e̞ h i ɨ j kʰ kʼ l m n o̞ pʰ pʼ s tʰ tʼ u w ʔ
83	copa1236	a b c̟ d ɛ ɤ̞̃ f ɡ h h̃ i j j̃ k l m n ɲ̟ ŋ o̞ p r ɾ s ʃ t ts t̠ʃ u w w̃ ʔ
84	papa1238	aː ɐ h i iː j k kː l ɬ m n p pː q qː s ʃ t tː ts t̠ʃ u uː w ʔ
85	taba1266	a ãː b d e̞ ẽ̞ː ə ə̃ː f ɡ h i ĩː j k kʼ l m n o̞ õ̞ː p pʼ r ɾ s ʃ t ts tsʼ t̠ʃ t̠ʃʼ tʼ u ũː w ʔ
86	tzel1254	a b d e̞ f ɡ h ɪ j kʰ kʼ l m n o̞ p pʼ r ɾ s ʃ t ts tsʼ t̠ʃ t̠ʃʼ tʼ ʊ w ʔ
