GLOTTOCODE	NAME	FAMILY	MACROAREA	LATITUDE	LONGITUDE
bank1256	Bankon	Atlantic-Congo	Africa	4.3702	9.6403
baou1238	Baoulé	Atlantic-Congo	Africa	5.42509	-4.76565
bara1380	Barasana-Eduria	Tucanoan	South America	0.02193	-70.808
barb1263	Barbareño	Chumashan	North America	34.462	-119.699
bard1255	Bardi	Nyulnyulan	Australia	-16.6274	122.906
bare1276	Baré	Arawakan	South America	1.91649	-66.828
bare1279	Barain	Afro-Asiatic	Africa	11.1168	18.0764
bari1286	Bariai	Austronesian	Papunesia	-5.5087	148.666
bari1297	Barí	Chibchan	South America	9.08497	-72.9353
barr1247	Barrow Point	Pama-Nyungan	Australia	-14.1219	144.531
baru1269	Baruga	Nuclear Trans New Guinea	Papunesia	-9.40132	148.761
basa1284	Basa (Cameroon)	Atlantic-Congo	Africa	3.80765	10.4213
bash1264	Bashkir	Turkic	Eurasia	53.5967	56.5594
basq1248	Basque	(isolate or unclassified)	Eurasia	43.2787	-1.31622
basq1250	Basque, Souletin	Basque	Eurasia		
bass1260	Bassossi	Atlantic-Congo	Africa	5.23655	9.52275
bata1285	Batanga	Atlantic-Congo	Africa	1.397041	9.51011
bata1289	Batak Toba	Austronesian	Papunesia	2.35498	99.1761
bata1293	Batak Karo	Austronesian	Papunesia	2.12787	98.2517
bats1242	Bats	Nakh-Daghestanian	Eurasia	42.1806	45.344
baur1253	Baure	Arawakan	South America	-13.1278	-64.1838
bayu1240	Bayungu	Pama-Nyungan	Australia	-23.3809	114.108
beem1239	Beembe	Atlantic-Congo	Africa	-3.95895	14.1
befa1241	Befang	Atlantic-Congo	Africa	6.27562	10.0342
beja1238	Beja	Afro-Asiatic	Africa	17.2436	36.6666
bekw1241	Bekwarra	Atlantic-Congo	Africa	6.73737	8.86489
bela1255	Belanda Viri	Atlantic-Congo	Africa	7.41311	27.6956
bela1256	Belanda Bor	Nilotic	Africa	6.6503	27.8232
bela1260	Lemeting	Austronesian	Papunesia	4.96207	114.933
belh1239	Belhariya	Sino-Tibetan	Eurasia	26.9972	87.2783
beli1260	Belize Kriol English	Indo-European	North America	17.3941	-88.6281
bell1243	Bella Coola	Salishan	North America	52.3448	-126.689
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	-10.6122	29.2993
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	-9.26671	35.0364
benc1235	Bench	Ta-Ne-Omotic	Africa	7.04682	35.7673
beng1280	Bengali	Indo-European	Eurasia	24.0	90.0
beng1286	Beng	Mande	Africa	7.78122	-4.23539
berb1259	Berbice Creole Dutch	Indo-European	South America	5.3829	-58.0002
bero1242	Berom	Atlantic-Congo	Africa	9.67037	8.81221
bert1248	Berta	(isolate or unclassified)	Africa	10.6474	34.7042
bese1243	Besermyan	Uralic			
besi1244	Besisi	Austroasiatic	Eurasia	2.717	101.676
besl1239	Besleri	Afro-Asiatic	Africa		
