GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
dɣw	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
dʐ	-	o	o	-	-	-	-	+	-	.	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʑ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʑɥ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
dʒ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʒʰ	-	o	o	-	-	-	-	+	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʒʲ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
dʒʷ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
dʒ͡g	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
dʒ͡ɣʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
dʝ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
dʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
dʼ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dʼkxʼ	-	o	o	-	-	-	-	.	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
dːʒ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
dˠ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
dˤ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
d̀	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̂	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̏	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̥	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪z̪	-	o	o	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪z̪ʲ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
d̪z̪ʷ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
d̪ð	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪ʒ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪ʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̪ʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
d̪ː	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
d̪ˤ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
d̪ˤː	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
d̻	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̻ʑ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d̻ʒ̻	-	o	o	-	-	-	-	+	-	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dβ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
e	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ei	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ej	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
emf	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
eu	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+
eə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
