GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
l̪ʼ	-	o	o	+	-	+	-	+	+	+	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̪ː	-	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
l̪ˤ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
l̪ˤː	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
l̪θ	-	o	o	.	-	.	.	.	-	+	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
m	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m<	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
mb̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
mnl	-	o	o	-	-	+	-	+	-	+	+	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
mǀG	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
mǁG	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
mǂG	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
mǃG	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
mʘG	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
mʰ	-	o	o	-	-	+	-	+	-	-	+	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
mʲ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
mʷ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
mʼ	-	o	o	-	-	+	-	+	+	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
mː	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	+	-	.	.	.	.	.	.	-	+	-	-
mˠ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	+	+	+
mˡ	-	o	o	-	-	+	-	+	-	+	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
mˤ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
m̂	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m̏	-	o	o	-	-	+	-	+	+	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m̤	-	o	o	-	-	+	-	+	-	-	+	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m̥	-	o	o	-	-	+	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m̥ʰ	-	o	o	-	-	+	-	-	-	-	+	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m̩	+	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
m͡ŋ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
mβ	-	o	o	-	-	.	+	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
n	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
nd̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ngǀ	-	o	o	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ngǁ	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ngǂ	-	o	o	-	-	-	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ngǃ	-	o	o	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nkǀ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nkǃ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nzʷ	-	x	x	-	-	-	+	+	-	-	+	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
nð	-	o	o	-	-	-	+	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
nŋw	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
nǀ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nǁ	-	o	o	-	-	-	-	-	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nǂ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nǃ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
nʰ	-	o	o	-	-	+	-	+	-	-	+	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
nʲ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
nʷ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
nʼ	-	o	o	-	-	+	-	+	+	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
nː	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
nˤ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
nˤː	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
n̂	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̏	-	o	o	-	-	+	-	+	+	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̞	-	o	o	-	-	+	-	+	-	-	+	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̞s̞	-	o	o	-	-	-	+	-	-	-	+	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̟	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̟ʲ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	-	+	+	+	+	-	-	.	.	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
n̤	-	o	o	-	-	+	-	+	-	-	+	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̥	-	o	o	-	-	+	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̥s	-	o	o	-	-	-	+	-	-	-	+	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̩	+	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪t̪	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪t̪ʼ	-	o	o	-	-	-	-	-	+	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪z̪	-	o	o	-	-	-	+	+	-	-	+	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪ʰ	-	o	o	-	-	+	-	+	-	-	+	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪ʲ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
n̪ʼ	-	o	o	-	-	+	-	+	+	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
n̪ː	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
n̻	-	o	o	-	-	+	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
o	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
oi	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
oj	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
omf	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ou	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
oə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
oʊ	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
oʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
oʔo	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
oː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
oːː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	+	.	.	.	.	.	.	-	+	+	+
oˤ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
õ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
õʔ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
õː	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
õˤ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
õⁿ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ŏ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	+	.	.	.	.	.	.	-	+	+	+
o̝	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̝ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
õ̝	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̞	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̤	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̤ʔ	+	x	x	+	+	+	+	+	+	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̤ː	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
o̤ˤ	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
õ̤	+	x	x	+	+	+	+	+	-	-	+	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
õ̤ʔ	+	x	x	+	+	+	+	+	+	-	+	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
õ̤ˤ	+	x	x	+	+	+	+	+	-	-	+	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
o̥	+	x	x	+	+	+	+	-	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̯	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
o̯a	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
o̯u	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
p	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
p*	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
p<	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
pf	-	o	o	-	-	-	-	-	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pfʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ps	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
pv	-	o	o	-	-	-	-	-	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pɦ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pɸ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pʃʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
pʃʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
pʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pʰʷ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	-	-
pʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
pʲʰ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
pʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
pʷʼ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	-	-
pʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pʼˤ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
pː	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	+	-	.	.	.	.	.	.	-	+	-	-
pˠ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	+	+	+
pˡ	-	o	o	-	-	-	-	-	-	+	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
pˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
p̀	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
p͡k	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
p͡kʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
p͡t	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
p͡ts	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
p	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
q	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
qɰ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	+	-	+	+
qʔ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
qʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
qʰʷ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	-	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
qʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	+	+	+	-	-	+	-	-	-	.	.	.	.	.	.	+	-	+	+
qʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
qʷʼ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	-	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
qʷː	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	+	-	.	.	.	.	.	.	+	+	+	+
qʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
qʼʲ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	+	+	+	-	-	+	-	-	-	.	.	.	.	.	.	+	-	+	+
qʼʷ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
qʼˤ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
qʼˤʷ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
