GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
dʑɥ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	+	n	-	-
dʒ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
dʒʰ	-	-	+	-	-	+	-	-	-	+	+	n	+	n	+	-	-	+	-	-	+	+	n	-	-
dʒʲ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
dʒʷ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	+	n	-	-
dʒ͡g	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	.	-	+	.	n	-	-
dʒ͡ɣʷ	-	-	+	-	-	+	-	-	-	.	-	n	.	n	+	-	-	+	.	+	+	+	n	-	-
dʝ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	.	-	-	.	-	-	.	+	n	-	-
dʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	-	-	+	+	-	-	-	-	n	-	-
dʲ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	+	-	+	+	-	-	-	-	n	-	-
dʷ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	+	-	-	n	-	-
dʼ	-	-	+	-	-	+	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
dʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	+	n	.	-	+	.	.	-	.	+	n	-	-
dːʒ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	+	-
dˠ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	+	-	+	+	+	-	-	-	n	-	-
dˤ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	-	-	n	-	-
d̀	-	-	+	-	-	+	-	-	-	-	-	n	+	n	-	-	+	+	-	-	-	-	n	-	-
d̂	-	-	+	-	-	+	-	-	-	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
d̏	-	-	+	-	-	+	-	-	-	-	-	n	+	n	-	-	+	+	-	-	-	-	n	-	-
d̥	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
d̪	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	-	n	-	-
d̪z̪	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	+	n	-	-
