GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
ǃx	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
ǃz	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
ǃʃ	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
ǃʒ	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
ǃʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-	-
ǃʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	+	+	+	-	-	-	-	-	-
ɐ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	+	-	n	n	n	-	-
ɐː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	+	-	n	n	n	+	-
ɑ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	+	-	n	n	n	-	-
ɑː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	+	-	n	n	n	+	-
ɑ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	+	-	-	+	-	n	n	n	-	-
ɒ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	+	+	n	n	n	-	-
ɒː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	+	+	n	n	n	+	-
ɓ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	-	-	+	-	-	-	+	-	n	-	-
ɓʷ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	-	-	+	-	-	+	+	-	n	-	-
ɓ̥	-	-	+	-	-	-	+	n	-	-	-	+	.	n	-	-	+	-	-	-	+	-	n	-	-
ɓ̥ˠ	-	-	+	-	-	-	+	n	-	-	-	+	.	n	+	-	+	-	+	-	+	-	n	-	-
ɔ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	-	-
ɔi	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	.	.	n	n	n	+	-
ɔi̯	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	.	.	n	n	n	+	-
ɔj	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	+	.	n	n	n	+	-
ɔʔ	+	+	-	+	+	+	+	n	-	-	-	+	-	-	-	-	-	-	+	+	n	n	n	-	-
ɔː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	+	-
ɔ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	+	n	n	n	-	-
ɔ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	+	-	-	-	-	-	-	+	+	n	n	n	-	-
ɔ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	+	n	n	n	+	-
ɔ̘	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
ɔ̝	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	-	-
ɔ̝ː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	+	-
ɔ̥	+	-	-	+	+	-	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	-	-
ɕ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ɕɥ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	n	n	-	-
ɕʰ	-	-	+	-	+	-	-	-	-	+	+	n	+	n	+	-	-	+	-	-	+	n	n	-	-
ɖ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ɖɽ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ɖʐ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	-	+	-	-	-	+	n	-	-
ɖʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	-	-	-	+	-	-	-	-	n	-	-
ɖʲ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ɖ˞	-	-	+	-	-	-	+	-	-	-	-	+	.	n	-	-	-	+	-	-	-	-	n	-	-
ɗ	-	-	+	-	-	+	+	-	-	-	-	+	.	n	-	-	+	+	-	-	-	-	n	-	-
ɗʒ	-	-	+	-	-	+	+	-	-	+	-	+	+	n	+	-	-	+	-	-	+	+	n	-	-
ɗʷ	-	-	+	-	-	+	+	-	-	-	-	+	.	n	-	-	+	+	-	+	-	-	n	-	-
ɗ̪	-	-	+	-	-	+	+	-	-	-	-	+	.	n	-	-	+	+	-	-	+	-	n	-	-
ə	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
əe	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	.	-	n	n	n	+	-
əi	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	-	n	n	n	+	-
əo	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	.	n	n	n	+	-
əu	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	.	n	n	n	+	-
əː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ə˞	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	+	+	-	n	n	n	-	-
əˤ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	+	-	n	n	n	-	-
ə̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ə̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ə̆	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	+
ə̝	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	-	n	n	n	-	-
ə̟	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ə̯i	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	-	n	n	n	+	-
ɛ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	-	n	n	n	-	-
ɛi̯	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	.	-	n	n	n	+	-
ɛʔ	+	+	-	+	+	+	+	n	-	-	-	+	-	-	-	-	-	-	-	-	n	n	n	-	-
ɛː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	-	n	n	n	+	-
ɛ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	-	-	n	n	n	-	-
ɛ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	+	-	-	-	-	-	-	-	-	n	n	n	-	-
ɛ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	-	-	n	n	n	+	-
ɛ̘	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
ɛ̞	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	-	n	n	n	-	-
ɛ̥	+	-	-	+	+	-	-	n	-	-	-	n	-	-	-	-	-	-	-	-	n	n	n	-	-
ɜ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ɜː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ɟ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
ɟʑ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	+	-	-	.	-	-	+	+	n	-	-
ɟʝ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	+	n	-	-
ɟʰ	-	-	+	-	-	+	-	n	-	-	+	n	+	n	+	-	-	-	-	-	.	-	n	-	-
ɟʷ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	-	n	-	-
ɟ̥	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
ɠ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	+	-	-	-	+	-	.	-	n	-	-
ɠʲ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	+	-	-	-	-	-	.	-	n	-	-
ɠʷ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	+	-	-	-	+	+	.	-	n	-	-
ɠ̥	-	-	+	-	-	-	+	n	-	-	-	+	.	n	+	-	-	-	+	-	.	-	n	-	-
ɠ͡ɓ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	+	-	+	-	+	-	.	-	n	-	-
ɢ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	-	n	-	-
ɢˤ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	+	-	-	+	-	.	-	n	-	-
ɣ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	n	n	-	-
ɣʰ	-	-	+	-	+	+	-	n	-	-	+	n	+	n	+	-	-	-	+	-	.	n	n	-	-
ɣʲ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
ɣʷ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	n	n	-	-
ɣʼ	-	-	+	-	+	+	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	n	n	-	-
ɣː	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	n	n	+	-
ɣ̀	-	-	+	-	+	+	-	n	-	-	-	n	+	n	+	-	-	-	+	-	.	n	n	-	-
ɣ͡β	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	-	-
ɤ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	-	n	n	n	-	-
ɤː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	-	n	n	n	+	-
ɥ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	n	n	-	-
ɥ̥	-	-	-	+	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	n	n	-	-
ɦ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	+	-	-	-	-	.	n	n	-	-
ɦʲ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	+	-	-	-	-	.	n	n	-	-
ɦʷ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	+	-	-	-	+	.	n	n	-	-
ɦ̃	-	-	-	+	+	+	-	n	+	-	-	n	-	n	-	+	-	-	-	-	.	n	n	-	-
ɨ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	-	n	n	n	-	-
ɨʔɨ	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	+	-	n	n	n	-	-
ɨː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	-	n	n	n	+	-
ɨːː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	-	n	n	n	+	+
ɨ˞	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	+	+	-	n	n	n	-	-
ɨ̃	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	-	n	n	n	-	-
ɨ̃ʔɨ̃	+	+	-	+	+	+	+	n	+	-	-	-	+	-	+	-	-	-	+	-	n	n	n	-	-
ɨ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	-	n	n	n	+	-
ɨ̞	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	+	-	n	n	n	-	-
ɪ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	-	-	n	n	n	-	-
ɪɛ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	-	n	n	n	+	-
ɪː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	-	-	n	n	n	+	-
ɪ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	+	-	-	-	-	-	n	n	n	-	-
ɪ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	+	-	-	-	-	-	n	n	n	+	-
ɪ̘	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
ɪ̥	+	-	-	+	+	-	-	n	-	-	-	n	-	-	+	-	-	-	-	-	n	n	n	-	-
ɬ	-	-	+	-	+	-	-	+	-	-	-	n	.	n	-	-	+	+	-	-	.	n	n	-	-
ɬʷ	-	-	+	-	+	-	-	+	-	-	-	n	.	n	-	-	+	+	-	+	.	n	n	-	-
ɬʼ	-	-	+	-	+	-	+	+	-	-	-	+	+	n	-	-	+	+	-	-	.	n	n	-	-
ɬ̀	-	-	+	-	+	-	-	+	-	-	-	n	+	n	-	-	+	+	-	-	.	n	n	-	-
ɭ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	-	+	-	-	-	n	n	-	-
ɮ	-	-	+	-	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	.	n	n	-	-
ɯ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	-	n	n	n	-	-
ɯə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	-	n	n	n	+	-
ɯː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	-	n	n	n	+	-
ɯ̃	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	-	n	n	n	-	-
ɰ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	n	n	-	-
ɰʼ	-	-	-	+	+	+	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	n	n	-	-
ɱ̥f	-	-	+	-	+	-	-	n	.	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
ɲ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	-	-	.	-	n	-	-
ɲɥ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	-	+	.	-	n	-	-
ɲʰ	-	-	+	+	-	+	-	n	+	-	+	n	+	n	+	-	-	-	-	-	.	-	n	-	-
ɲː	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	-	-	.	-	n	+	-
ɲ̥	-	-	+	+	-	-	-	n	+	-	-	n	-	n	+	-	-	-	-	-	.	-	n	-	-
ɲ̥cʃ	-	-	+	-	-	-	-	-	.	+	-	n	.	n	+	-	-	.	-	-	+	+	n	-	-
ɲ̥ʃ	-	-	+	-	+	-	-	-	.	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ɲ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	n	+	n	+	-	-	-	-	-	.	-	n	-	-
ɲ͡n̪	-	-	+	+	-	+	-	-	+	-	-	n	-	n	.	-	-	.	-	-	+	-	n	-	-
ɲ͡ŋ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	.	-	+	-	n	-	-
ɲ͡ŋw	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	.	+	+	-	n	-	-
ɳ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	-	+	-	-	-	-	n	-	-
ɳɖɽ	-	-	+	-	-	+	-	-	+	-	-	n	-	n	-	-	-	+	-	-	-	-	n	-	-
ɳʷ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	-	+	-	+	-	-	n	-	-
ɴ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	-	-	+	-	.	-	n	-	-
ɴʼ	-	-	+	+	-	+	+	n	+	-	-	+	+	n	-	-	-	-	+	-	.	-	n	-	-
ɵ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
ɸ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	n	n	-	-
ɹ	-	+	+	+	+	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
ɹː	-	+	+	+	+	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	+	-
ɺ	-	+	+	+	-	+	-	+	-	-	-	n	.	n	-	-	+	+	.	-	.	.	n	-	-
ɻ	-	-	-	+	+	+	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	n	n	-	-
ɽ	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	.	n	-	-
ɽʰ	-	+	+	+	-	+	-	-	-	-	+	n	+	n	-	-	-	+	-	-	-	.	n	-	-
ɾ	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	.	n	-	-
ɾð	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	.	n	-	-
ɾʲ	-	+	+	+	-	+	-	-	-	-	-	n	.	n	+	-	+	+	-	-	-	.	n	-	-
ɾˡ	-	+	+	+	-	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	.	n	-	-
ɾˤ	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	-	.	n	-	-
ɾ̃	-	+	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	.	n	-	-
ɾ̪	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	.	n	-	-
ɾ̪ˤ	-	+	+	+	-	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	+	.	n	-	-
ʀ	-	+	+	+	+	+	-	n	-	-	+	n	.	n	-	-	-	-	+	-	.	n	n	-	-
ʀʼ	-	+	+	+	+	+	+	n	-	-	+	+	+	n	-	-	-	-	+	-	.	n	n	-	-
ʁ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	n	n	-	-
ʁʲ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
ʁʷ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	-	-	-	-	+	+	.	n	n	-	-
ʁː	-	-	+	-	+	+	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	n	n	+	-
ʁˤ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	-	+	-	-	+	-	.	n	n	-	-
ʁˤʷ	-	-	+	-	+	+	-	n	-	-	-	n	.	n	-	+	-	-	+	+	.	n	n	-	-
ʂ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	-	+	-	-	-	n	n	-	-
ʂʰ	-	-	+	-	+	-	-	-	-	+	+	n	+	n	-	-	-	+	-	-	-	n	n	-	-
ʃ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʃtʃ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
ʃʲ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʃʷ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	n	n	-	-
ʃʼ	-	-	+	-	+	-	+	-	-	+	-	+	+	n	+	-	-	+	-	-	+	n	n	-	-
ʃʼʷ	-	-	+	-	+	-	+	-	-	+	-	+	+	n	-	-	+	+	-	+	-	n	n	-	-
ʃː	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	+	-
ʃ̀	-	-	+	-	+	-	-	-	-	+	-	n	+	n	+	-	-	+	-	-	+	n	n	-	-
ʃ̥ʷ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	n	n	-	-
ʃ͡kʷ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	-	+	.	+	+	-	n	-	-
ʄ	-	-	+	-	-	+	+	n	-	-	-	+	.	n	+	-	-	-	-	-	.	-	n	-	-
ʄ̥	-	-	+	-	-	-	+	n	-	-	-	+	.	n	+	-	-	-	-	-	.	-	n	-	-
ʈ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ʈɽ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ʈʂ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	-	+	-	-	-	+	n	-	-
ʈʂʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	-	+	-	-	-	+	n	-	-
ʈʂʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	-	-	-	+	-	-	-	+	n	-	-
ʈʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	-	-	-	+	-	-	-	-	n	-	-
ʈʲ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ʈʲʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	-	+	-	-	-	-	n	-	-
ʈⁿ	-	-	+	-	-	-	-	-	+	-	-	n	.	n	-	-	-	+	-	-	-	-	n	-	-
ʉ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ʉ̃ⁿ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ʉ̟ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	+	-
ʊ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	+	+	n	n	n	-	-
ʊɔ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	+	n	n	n	+	-
ʊʏ̯	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	.	.	n	n	n	+	-
ʊː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	+	+	n	n	n	+	-
ʊ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	+	-	-	-	+	+	n	n	n	-	-
ʊ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	+	-	-	-	+	+	n	n	n	+	-
ʊ̘	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ʊ̥	+	-	-	+	+	-	-	n	-	-	-	n	-	-	+	-	-	-	+	+	n	n	n	-	-
ʋ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
ʋ*	-	-	-	+	+	+	-	n	-	-	-	n	-	n	-	-	+	-	-	-	-	n	n	-	-
ʋʰ	-	-	-	+	+	+	-	n	-	-	-	n	+	n	-	-	+	-	-	-	-	n	n	-	-
ʋʲ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	+	-	-	-	-	n	n	-	-
ʋ̃	-	-	-	+	+	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	-	n	n	-	-
ʌ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ʌː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ʌ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ʌ̃ː	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ʌ̆	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	+
ʌ̝	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ʌ̤	+	+	-	+	+	+	-	n	-	-	+	n	-	-	-	-	-	-	+	-	n	n	n	-	-
ʌ̤ː	+	+	-	+	+	+	-	n	-	-	+	n	-	-	-	-	-	-	+	-	n	n	n	+	-
ʍ	-	-	-	+	+	-	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	-	-
ʎ	-	+	+	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	-	n	n	-	-
ʎ̥	-	-	+	+	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	-	n	n	-	-
ʏ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	+	-	-	-	-	+	n	n	n	-	-
ʐ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	-	+	-	-	-	n	n	-	-
ʑ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʒ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʒʰ	-	-	+	-	+	+	-	-	-	+	+	n	+	n	+	-	-	+	-	-	+	n	n	-	-
ʒʲ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʒʷ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	n	n	-	-
ʒː	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	+	-
ʒ̤	-	-	+	-	+	+	-	-	-	+	+	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʒ̥	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	n	n	-	-
ʒ̥ʷ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	n	n	-	-
ʒ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	n	.	n	+	-	-	+	.	+	+	n	n	-	-
ʔ	-	-	-	+	-	-	+	n	-	-	-	-	.	n	-	+	-	-	-	-	.	-	n	-	-
ʔb	-	-	+	-	-	+	+	n	-	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
ʔd	-	-	+	-	-	+	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
ʔj	-	-	-	+	+	+	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	n	n	-	-
ʔk	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	-	n	-	-
ʔl	-	+	+	+	+	+	-	+	-	-	-	n	+	n	-	-	+	+	-	-	-	n	n	-	-
ʔm	-	-	+	+	-	+	+	n	+	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
ʔn	-	-	+	+	-	+	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
ʔp	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
ʔt	-	-	+	-	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
ʔw	-	-	-	+	+	+	+	n	-	-	-	+	+	n	+	-	+	-	+	-	.	n	n	-	-
ʔǀn	-	-	+	-	-	-	+	-	+	-	-	-	+	n	+	-	+	+	+	-	+	-	-	-	-
ʔǁn	-	-	+	-	-	-	+	+	+	-	-	-	+	n	+	-	+	+	+	-	.	-	-	-	-
ʔǂn	-	-	+	-	-	-	+	-	+	-	-	-	+	n	+	-	-	+	+	-	+	-	-	-	-
ʔǃn	-	-	+	-	-	-	+	-	+	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-	-
