GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
i̝ː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̞	+	-	-	+	-	-	-	.	-	-	+	-	-	-	-
i̟	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̤	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̤e̤	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̤ː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̥	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-
i̯e	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̯o	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
ḭ	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
ḭː	+	-	-	+	+	-	-	+	-	-	+	-	-	+	-
i̺	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
j	-	-	-	+	-	-	-	.	+	-	-	-	-	-	-
je	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
jeː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
jẽ	+	-	-	+	-	+	-	+	-	-	+	-	-	+	-
jʰ	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-
jʷ	-	-	-	+	-	-	-	.	+	-	-	-	+	-	-
jʼ	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
jː	-	-	-	+	-	-	-	.	+	-	-	-	-	+	-
ĵ	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-
j̃	-	-	-	+	-	+	-	.	+	-	-	-	-	-	-
j̥	-	-	-	-	-	-	-	.	+	-	-	-	-	-	-
k	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
kf	-	+	+	.	-	-	+	.	.	-	.	+	-	-	-
klʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kxʰ	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
kxʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kʰ	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
kʰʲ	-	+	+	-	-	-	-	+	+	+	-	+	-	-	-
kʰʷ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʲ	-	+	+	-	-	-	-	.	+	+	-	+	-	-	-
kʷ	-	+	+	-	-	-	-	.	+	-	-	+	+	-	-
kʷɦ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
kʷʼ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kʷː	-	+	+	-	-	-	-	.	+	-	-	+	+	+	-
kʼ	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
kʼʲ	-	+	+	-	+	-	-	.	+	+	-	+	-	-	-
kʼʷ	-	+	+	-	+	-	-	.	+	-	-	+	+	-	-
kː	-	+	+	-	-	-	-	.	+	-	-	+	-	+	-
kˤ	-	+	+	-	-	-	-	.	+	-	-	+	+	-	-
k̀	-	+	+	-	-	-	-	+	+	-	-	+	-	-	-
k̀ʷ	-	+	+	-	-	-	-	+	+	-	-	+	+	-	-
k̂	-	+	+	-	-	-	-	-	+	-	-	+	-	-	-
k̂͡p̂	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-
k͡p	-	+	+	-	-	-	-	.	-	-	-	+	-	-	-
k͡pʲ	-	+	+	-	-	-	-	.	-	+	-	+	-	-	-
k͡pʷ	-	+	+	-	-	-	-	.	-	-	-	+	+	-	-
k	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
l	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
